"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 08 17:24:17 IST 2020","Thu Oct 08 17:24:29 IST 2020","11606","","vacationsdirect hotel search and sorting verification: [Scenario 3.1] As a user, I can sort hotels By Sort Name- Distance","","vacationsdirect hotel search and sorting verification: [Scenario 3.1] As a user, I can sort hotels By Sort Name- Distance","When I sort by specific sort name- Distance","When I sort by specific sort name- Distance",""
"passed","Thu Oct 08 17:23:23 IST 2020","Thu Oct 08 17:24:05 IST 2020","42369","","vacationsdirect hotel search and paging verification: [Scenario 2.0] As a user, I can search hotels for expected destination","","vacationsdirect hotel search and paging verification: [Scenario 2.0] As a user, I can search hotels for expected destination","When I click on hotel tab and provide the destination Houston, TX, date, and adults as search criteria","When I click on hotel tab and provide the destination Houston, TX, date, and adults as search criteria",""
"passed","Thu Oct 08 17:24:05 IST 2020","Thu Oct 08 17:24:05 IST 2020","61","","vacationsdirect hotel search and paging verification: [Scenario 2.0] As a user, I can search hotels for expected destination","","vacationsdirect hotel search and paging verification: [Scenario 2.0] As a user, I can search hotels for expected destination","Then It should redirect hotels details page properly with correct location name- Houston","Then It should redirect hotels details page properly with correct location name- Houston",""
"passed","Thu Oct 08 17:24:10 IST 2020","Thu Oct 08 17:24:10 IST 2020","0","","vacationsdirect hotel search verification: [Scenario 1.0] As a user, I can search hotels for expected destination","","vacationsdirect hotel search verification: [Scenario 1.0] As a user, I can search hotels for expected destination","Hook","Hook",""
"passed","Thu Oct 08 17:23:03 IST 2020","Thu Oct 08 17:23:03 IST 2020","2","","vacationsdirect hotel search and paging verification: [Scenario 2.0] As a user, I can search hotels for expected destination","","vacationsdirect hotel search and paging verification: [Scenario 2.0] As a user, I can search hotels for expected destination","Given I hotel search url https://vacationsdirect.com/","Given I hotel search url https://vacationsdirect.com/",""
"passed","Thu Oct 08 17:23:03 IST 2020","Thu Oct 08 17:23:23 IST 2020","19545","","vacationsdirect hotel search and paging verification: [Scenario 2.0] As a user, I can search hotels for expected destination","","vacationsdirect hotel search and paging verification: [Scenario 2.0] As a user, I can search hotels for expected destination","When I open the hotel search","When I open the hotel search",""
"passed","Thu Oct 08 17:23:23 IST 2020","Thu Oct 08 17:23:23 IST 2020","16","","vacationsdirect hotel search and paging verification: [Scenario 2.0] As a user, I can search hotels for expected destination","","vacationsdirect hotel search and paging verification: [Scenario 2.0] As a user, I can search hotels for expected destination","Then It should redirect hotels search page properly and have title- Home","Then It should redirect hotels search page properly and have title- Home",""
"passed","Thu Oct 08 17:24:17 IST 2020","Thu Oct 08 17:24:17 IST 2020","0","","vacationsdirect hotel search and sorting verification: [Scenario 3.1] As a user, I can sort hotels By Sort Name- Star","","vacationsdirect hotel search and sorting verification: [Scenario 3.1] As a user, I can sort hotels By Sort Name- Star","Hook","Hook",""
"passed","Thu Oct 08 17:24:52 IST 2020","Thu Oct 08 17:24:52 IST 2020","2","","vacationsdirect hotel search and sorting verification: [Scenario 3.1] As a user, I can sort hotels By Sort Name- Price Per Night","","vacationsdirect hotel search and sorting verification: [Scenario 3.1] As a user, I can sort hotels By Sort Name- Price Per Night","Then It should sort by specific sort name and order properly","Then It should sort by specific sort name and order properly",""
"passed","Thu Oct 08 17:23:12 IST 2020","Thu Oct 08 17:23:13 IST 2020","588","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Then I should see a flash message saying You logged into a secure area!","Then I should see a flash message saying You logged into a secure area!",""
"passed","Thu Oct 08 17:23:18 IST 2020","Thu Oct 08 17:23:19 IST 2020","544","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Then I should see a flash message saying Your username is invalid!","Then I should see a flash message saying Your username is invalid!",""
"passed","Thu Oct 08 17:24:05 IST 2020","Thu Oct 08 17:24:05 IST 2020","0","","vacationsdirect hotel search and sorting verification: [Scenario 3.0] As a user, I can search hotels for expected destination","","vacationsdirect hotel search and sorting verification: [Scenario 3.0] As a user, I can search hotels for expected destination","Hook","Hook",""
"passed","Thu Oct 08 17:23:03 IST 2020","Thu Oct 08 17:23:23 IST 2020","19977","","vacationsdirect hotel search verification: [Scenario 1.0] As a user, I can search hotels for expected destination","","vacationsdirect hotel search verification: [Scenario 1.0] As a user, I can search hotels for expected destination","When I open the hotel search","When I open the hotel search",""
"passed","Thu Oct 08 17:24:05 IST 2020","Thu Oct 08 17:24:17 IST 2020","11809","","vacationsdirect hotel search and sorting verification: [Scenario 3.1] As a user, I can sort hotels By Sort Name- Star","","vacationsdirect hotel search and sorting verification: [Scenario 3.1] As a user, I can sort hotels By Sort Name- Star","When I sort by specific sort name- Star","When I sort by specific sort name- Star",""
"passed","Thu Oct 08 17:24:40 IST 2020","Thu Oct 08 17:24:40 IST 2020","0","","vacationsdirect hotel search and sorting verification: [Scenario 3.1] As a user, I can sort hotels By Sort Name- Hotel Name","","vacationsdirect hotel search and sorting verification: [Scenario 3.1] As a user, I can sort hotels By Sort Name- Hotel Name","Hook","Hook",""
"passed","Thu Oct 08 17:24:29 IST 2020","Thu Oct 08 17:24:29 IST 2020","0","","vacationsdirect hotel search and sorting verification: [Scenario 3.1] As a user, I can sort hotels By Sort Name- Distance","","vacationsdirect hotel search and sorting verification: [Scenario 3.1] As a user, I can sort hotels By Sort Name- Distance","Hook","Hook",""
"passed","Thu Oct 08 17:24:40 IST 2020","Thu Oct 08 17:24:52 IST 2020","11552","","vacationsdirect hotel search and sorting verification: [Scenario 3.1] As a user, I can sort hotels By Sort Name- Price Per Night","","vacationsdirect hotel search and sorting verification: [Scenario 3.1] As a user, I can sort hotels By Sort Name- Price Per Night","When I sort by specific sort name- Price Per Night","When I sort by specific sort name- Price Per Night",""
"passed","Thu Oct 08 17:23:19 IST 2020","Thu Oct 08 17:23:19 IST 2020","1","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Hook","Hook",""
